review,sentiment
saya pesan barang ini dengan nomor pesan tiga ratus empat puluh sembilan juta tiga ratus dua puluh dua ribu ratus tujuh puluh empat tiga ratus empat puluh sembilan juta tiga ratus dua puluh dua ribu ratus tujuh puluh empat yang sampai bahkan ukur enam belas gb mohon dapat proses lagi untuk anti,0
barang sudah terima sesuai dengan gambar barang bermanfat saya jadi suka belanja daring di sini lazada tetap jadi yang baik,1
barang cepat sampai dan emas sangat rapi,1
produk sudah guna dan fungsi sangat baik,1
saya puas sekali dengan barang tapi jne yang lama,1
yang pes satu satu gb yang tiba enam puluh empat gb tipu ini nama,0
uang sudah puluh hri belum di kembali proses lama kaya keong,0
produk bagus dan asli namun kirim lama benget kurang lebih satu bulan baru sampai,0
barang cepat sampai hari langsung sampai rumah bagus juga barang hanya buka tutup flashdisk agak susahdan agak susah untuk cabut dari laptop,1
sudah pakai lama bulan bulan tidak ada masalah dan lancar lancar saja sengaja kasih rivew lama biar jadi bukti kalau barang di sini memang bagus,1
kecewa lah seperti ufd palsu padahal spesifikasi yang lampir di web asli contoh cover pack warna hijau sedang yang kirim warna merah file hasil copy selalu corupt kata baik seler tapi kualitas kecewa baru kali ini beli di lazada kecewa saya minta tukar barang dengan yang sesuai di spesifikasi,0
barang cepat sampai sesuai pesan lazada memang oke,1
barang telah sampai dengan emas rapi dan aman barang juga dalam adan baik,1
barang sesuai pesan kirim cepat dan rapi terima kasih,1
flashdisk asli emas bagus saya suka terima kasih,1
gambar tidak lihat,0
baik fungsi dengan baik,1
tidak bisa untuk save pdf file,1
i suka this desain so convenien,1
mantap sampai tuju rapi kemas nya,1
asli tidak kakak,0
bagus,1
excelent kirim flashdrive bagus working put in pc,1
barang ini jangan di beli sesal sebentar barang tidak bisa pakai,0
tertawa tahan tiga bulan telah itu rusak,0
terima kasih lazada sesuai pesan dan harga yang jangkau suces selalu lazada,1
barang cepat sampai mantap deh pokok nya,1
sesuai ekpektasi mantap jiwa,1
produk ini bagus di awal tapi pakai mingu sudah alami masalah satu file yang dicopy sering korupsi banyak file yang masuk dan sekitar delapan puluh persen tidak baca tiga tidak bisa guna untuk copy langsung ukur besar pasti ngadat empat sekarang tidak bisa guna karena semua yang masuk tidak dapat buka lima beberapa file hilang sendiri moga tidak ada yang kena masalah seperti ini lagi,0
bagus sekali puas lah tapi kecil sekali,1
produk sesuai dan sampai tepat waktu,1
saya pesan usb flashdisk toshiba delapan gb untuk hadiah orang nyata telah di cek kapasitas hanya satu satu delapan mbak harga memang murah tapi hati hati waktu terima barang kecewa berat beli tiga buah satu tidak ke detect tidak benar cowok,0
sudah pesan nungu semingu pesan batal gara gara barang tidak ada ribet uang wes harus tungu tungu,0
tenaga bank tidak dapat guna,0
bisa di ganti mi sama flash yang lain cuma flash dist saja admin,0
emas an kurang rapi tapi untuk flashdisk bagus tidak ada masalah,1
lazada atau juan yang koplak barang belum terima bilang sudah terima,0
mungkin karena produk negeri luar iya saya nrima agak lama,0
kecewa sekali,0
otg kok tidak bisa konek ya,0
barang bagus sesuai pesan,1
tidak bisa pakai alias rusak,0
ukur tiga tiga gb tapi isi data yang delapan gb ajh tidak muat karena sudah banyak virus padahal di pakai juga belum mhl doank pas saya nyimpen fto bukan kesimpen mlh hilang semua sesal bli,0
material sempurna emas jelek,1
barang tidak bagus,0
ini flasdisk opo flasdisk kok ora iso di buka isi file buang buang uang ae,0
kali saya mes barang dari seler ini dan kali batal pertama saya pesan h dari seler ini kemudian telah bayar bahkan batal saya pikir salah sistem lalu sat saya pesan yang ke kali saya kombinasi dengan seler ini dan seler lain alhasil nyata tertawa pesan dari seler ini yang batal nyata masalah memang ada di seler ini belanja daring itu paling ribet kalau kembali dana,0
dari sekian bnyak barang yang saya beli di lazada cuma di toko ini yang paling parah kirim lebih dari estimasi barang yang di kirim pun cacat benar benar cacat,0
sudah hari mesan kenapa status masih di proses iya,0
pb slim merk apa kalau boleh tahu dan berapa mah juragan,0
barang ini belum saya terima,1
barang tidak sesuai barang dan sangat kecewa walau baca hanya satu data video yang bisa putar lebih tidak bisa,0
file yang dipindahin ke flasdisk hilang sendiri tidak pakai rugi jadi,0
flasdisk rusakatau error kalau barang rudak tolong jangan di jual,0
mini peluit trendy usb empat gb sudah saya terima sesuai pesan terima kasih,0
asli asli hanya kirim lama,1
di tqwarka asli nyata palsu kuat sudah bayang pasti takut sama file penting kalau di simpan di flasdik ini,0
barang kualitas bagus saya senang dan puas tksh,1
flashdisk tidak bisa simpan laguatau video alias tidak bisa di pskai,1
barang sudah nyampai emas bagus barang muas walau lama nyampainya,1
biasa saja,0
dari flasdish tertawa satu yang fungsi dengan baik yang lain tidak bisa guna,0
barang tidak fungsi,0
bagus barang sesuai dengan barang yang tera dan yang minta,1
barang tidak sesuai dan gambar,0
flashdisk ringkasatau compact kapasitas dan performa sesuai harap,1
tidak bisa baca deh simpan pas buka di pc lain data tidak ada,0
barang lumayan berat dan bagus sih hanya permata hilang satu,1
kirim produk sangat lama,0
barang belum saya terima mohon bantu juragan terima kasih,0
saya suka bermanfat sekali usul kuota tambah lagi buat ruang simpan,1
paket iya aman,1
rekomendasi,1
barang terima oke sesuai,1
emas aman barang sesuai,1
rekomendasi sekali ini puas sekali kendala busy tidak terlalu lagi harga murah sangat dan video lebih lncar dan cepat barang sangat sangat super cepat sampai padahal jauh di malinau terima kasih,1
lumayan,0
cocok sesuai pesan,1
yang kami ingin merah yang kirim biru,1
barang tidak sampai ke saya tidak tahu sampai kmana,0
barang sudah di terima untuk sat ini masih normal untuk transfer data agak lambat tapi tetap bisa guna wajar saja ini kan barang bukan barang asli,0
tidak bisa di pakai,1
tepat,0
barang sesuai dengan yang pes emas baik dan rapi walaupun sampai lebih hari dari estimasi lama,0
paket lama sekali,0
tidak bisa nyimpan data seperti fladish bekas iya padahal saya sudah sering kecewa belnja di lazada,0
bos pesan merk so yang datang kok merk toshiba murah,1
emas rapi barang cepat sampai sesuai pesan terima kasih,1
barang bagus fungsi dengan baik,1
kecewa,0
minta warna hijau seperti gambar tapi yang kirim warna merah,1
paket sudah darat,1
barang yang datang tidak sesuai dengan pesan yang saya terima tertawa satu potong plastik warna hitam panjang nol cuma dengan bentuk tidak jelas,0
bungkus tidak profesional harus pakai gelembung gelembung,0
barang sudah terima dengan baik,1
barang terima dengan selamat dan sudah coba,1
saya pesan flashdisk kunci tapi datang kok model kartu,0
oky terima kasih lazada barang sudah terima sesuai dengan,1
emas rapi tapi barang agak cacat bagi ujung flashdisk buka moga saja ini awet,0
pas sekali,1
barang sesuai,1
it s working wel,1
matap barang cepat sampai puas lazada,1
luar biasa,1
hd saya jadi rusak karena baru sadar pcb hd nempel pada logam ini,0
barang sudah terima mudah fungsi,1
kecewa yang dteng tidak sesuai dengan gambar a terus tidak bisa kepakek,0
bagus dan bisa otg cepat data tranfers juga bagus,1
barang tidak bagus kapasitas tidak sesuai,0
ok befunsi barangnta,1
barang sesuai discripsi,1
paket terima dengan baik dan cepat tapi sayang file yang simpan dalam memori sebut mudah hilang kecewa dengan kualitas ini barang,0
bagus cepat pngirimanx,1
barang bagus dan sesuai mantap rekomendasi seler,1
produk tiba dalam kondisi baik dan fungsi sesuai dengan harap thnx,1
pesan tiga tiga gb yang datang enam puluh empat gb sayang tidak bisa nyimpen data kecewa sekali terima kasih lazada,0
barang datang begitu pakai nyata error bagaimana ini bisa tukar ngak,1
bagus tapi agak aneh saja tuk kapasitas memori cara kb baca sekitar enam puluh empat nol kb,1
barang bagus keren bngt,1
produk asli resmi cepat sampai pula,1
barang sampai dengan slamat dan lengkap sesuai pesan tanpa kurang,1
tidak tahu ini asli atau tidak,1
